"","HAULJOIN","CRUISE","VESSEL","HAUL","GIS_STATION","SPECIES_CODE","SEX","LENGTH","WIDTH","SHELL_CONDITION","EGG_COLOR","EGG_CONDITION","CLUTCH_SIZE","WEIGHT","CHELA_HEIGHT","COMMENTS","YEAR","log10.length","log10.weight","log.length","log.weight","Cooks_D","SC"
"1064",-17342,201701,94,232,"H-10",69322,1,98.1,NA,2,NA,NA,NA,752,30.3,NA,"2017",1.99166900737995,2.87621784059164,4.58598736657132,6.62273632394984,7.61246497019907e-05,"NS"
"1065",-2828,200701,89,32,"H-09",69322,1,98.1,NA,2,NA,NA,NA,802,NA,NA,"2007",1.99166900737995,2.90417436828416,4.58598736657132,6.68710860786651,0.000534717383588974,"NS"
"1066",-18739,201901,94,19,"F-11",69322,1,98.2,NA,2,NA,NA,NA,712,NA,NA,"2019",1.99211148778695,2.85247999363686,4.58700621536042,6.56807791141198,1.77010430222504e-05,"NS"
"1067",-11275,200601,134,23,"H-09",69322,1,98.2,NA,2,NA,NA,NA,714,NA,NA,"2006",1.99211148778695,2.85369821177617,4.58700621536042,6.57088296233958,1.28232168414368e-05,"NS"
"1071",-2893,200701,88,35,"G-10",69322,1,98.3,NA,2,NA,NA,NA,664,27.8,NA,"2007",1.99255351783214,2.82216807936802,4.58802402715312,6.49828214947643,0.000418853112097093,"NS"
"1073",-11266,200601,134,14,"G-11",69322,1,98.3,NA,2,NA,NA,NA,690,NA,NA,"2006",1.99255351783214,2.83884909073726,4.58802402715312,6.5366915975913,0.000141736660513836,"NS"
"1076",-11276,200601,134,24,"G-09",69322,1,98.4,NA,2,NA,NA,NA,626,NA,NA,"2006",1.99299509843134,2.79657433321043,4.58904080405821,6.4393503711001,0.00117296400120125,"NS"
"1078",-6141,201001,162,22,"J-11",69322,1,98.5,NA,2,NA,NA,NA,656,NA,NA,"2010",1.99343623049761,2.81690383937566,4.59005654817804,6.48616078894409,0.000600158860188947,"NS"
"1079",-11268,200601,134,16,"I-11",69322,1,98.5,NA,2,NA,NA,NA,658,NA,NA,"2006",1.99343623049761,2.81822589361396,4.59005654817804,6.48920493132532,0.000567492233684095,"NS"
"1080",-17335,201701,94,225,"G-12",69322,1,98.5,NA,2,NA,NA,NA,666,31.1,NA,"2017",1.99343623049761,2.8234742291703,4.59005654817804,6.50128967054039,0.000446828210835493,"NS"
"1091",-6124,201001,162,5,"G-15",69322,1,98.9,NA,2,NA,NA,NA,774,NA,NA,"2010",1.99519629159718,2.88874096068289,4.59410923862867,6.65157187358973,8.74561935822193e-05,"NS"
"1093",-13952,201501,94,25,"E-09",69322,1,98.9,NA,2,NA,NA,NA,818,NA,NA,"2015",1.99519629159718,2.91275330367132,4.59410923862867,6.70686233660275,0.000464157285617359,"NS"
"1094",-2893,200701,88,35,"G-10",69322,1,99,NA,2,NA,NA,NA,660,30,NA,"2007",1.99563519459755,2.81954393554187,4.59511985013459,6.49223983502047,0.000698828600393094,"NS"
"1095",1010910,200001,88,20,"J-11",69322,1,99,NA,2,NA,NA,NA,704,NA,NA,"2000",1.99563519459755,2.84757265914211,4.59511985013459,6.55677835615804,0.000149531689677016,"NS"
"1098",1023466,200001,88,189,"H-11",69322,1,99,118,2,NA,NA,NA,730,NA,NA,"2000",1.99563519459755,2.86332286012046,4.59511985013459,6.59304453414244,1.80194849446623e-05,"NS"
"1099",1010913,200001,88,23,"G-11",69322,1,99,NA,2,NA,NA,NA,732,NA,NA,"2000",1.99563519459755,2.86451108105839,4.59511985013459,6.59578051396131,1.32689517323368e-05,"NS"
"1100",1010915,200001,88,25,"E-11",69322,1,99,NA,2,NA,NA,NA,766,NA,NA,"2000",1.99563519459755,2.8842287696326,4.59511985013459,6.64118216974059,4.03446088339932e-05,"NS"
"1101",-16367,201701,94,30,"D-09",69322,1,99,NA,2,NA,NA,NA,790,NA,NA,"2017",1.99563519459755,2.89762709129044,4.59511985013459,6.67203294546107,0.00017273874172006,"NS"
"1102",1010687,200001,89,11,"F-12",69322,1,99,NA,2,NA,NA,NA,794,NA,NA,"2000",1.99563519459755,2.8998205024271,4.59511985013459,6.67708346124714,0.000203199202982191,"NS"
"1103",1063186,200101,88,21,"F-10",69322,1,99,NA,2,NA,NA,NA,798,NA,NA,"2001",1.99563519459755,2.90200289135073,4.59511985013459,6.68210859744981,0.000235960123169959,"NS"
"1105",-9750,201301,162,6,"J-14",69322,1,99.1,NA,2,NA,NA,NA,826,31.2,NA,"2013",1.99607365448528,2.91698004732038,4.59612944133594,6.71659477352098,0.000493638602565809,"NS"
"1108",-9073,201201,89,27,"J-10",69322,1,99.2,NA,2,NA,NA,NA,738,NA,NA,"2012",1.99651167215418,2.86805636182304,4.59713801429083,6.60394382460047,1.04046193702484e-05,"NS"
"1116",-7502,201101,89,10,"G-13",69322,1,99.3,NA,2,NA,NA,NA,688,NA,NA,"2011",1.99694924849538,2.83758843823551,4.59814557105113,6.53378883793334,0.00037150936927081,"NS"
"1124",-11279,200601,134,27,"E-09",69322,1,99.4,NA,2,NA,NA,NA,740,NA,NA,"2006",1.99738638439731,2.86923171973098,4.59915211366253,6.60665018619822,1.60138817914381e-05,"NS"
"1126",-9062,201201,89,16,"G-12",69322,1,99.4,NA,2,NA,NA,NA,788,NA,NA,"2012",1.99738638439731,2.89652621748956,4.59915211366253,6.66949808985788,9.48302493231045e-05,"NS"
"1130",-2827,200701,89,31,"I-09",69322,1,99.5,NA,2,NA,NA,NA,802,NA,NA,"2007",1.99782308074573,2.90417436828416,4.60015764416455,6.68710860786651,0.000165837214690177,"NS"
"1132",-11707,200601,88,219,"H-09",69322,1,99.5,NA,2,NA,NA,NA,820,30.8,NA,"2006",1.99782308074573,2.91381385238372,4.60015764416455,6.7093043402583,0.000314067866010821,"NS"
"1139",-16327,201701,94,17,"G-11",69322,1,99.7,NA,2,NA,NA,NA,715,NA,NA,"2017",1.99869515831166,2.85430604180108,4.60216567696779,6.57228254269401,0.00018250459962828,"NS"
"1144",-18762,201901,162,10,"G-13",69322,1,99.7,NA,2,NA,NA,NA,886,NA,NA,"2019",1.99869515831166,2.94743372188705,4.60216567696779,6.78671695060508,0.00109777312025648,"NS"
"1147",-8487,201201,162,16,"J-11",69322,1,99.8,NA,2,NA,NA,NA,712,NA,NA,"2012",1.99913054128737,2.85247999363686,4.60316818331742,6.56807791141198,0.000227451995697964,"NS"
"1148",-4813,200901,88,8,"H-14",69322,1,99.8,NA,2,NA,NA,NA,750,NA,NA,"2009",1.99913054128737,2.8750612633917,4.60316818331742,6.62007320653036,1.43704952792973e-05,"NS"
"1149",-6131,201001,162,12,"G-13",69322,1,99.8,NA,2,NA,NA,NA,752,NA,NA,"2010",1.99913054128737,2.87621784059164,4.60316818331742,6.62273632394984,1.03204987602386e-05,"NS"
"1152",-2886,200701,88,28,"I-12",69322,1,99.8,NA,2,NA,NA,NA,868,32.7,NA,"2007",1.99913054128737,2.93851972517649,4.60316818331742,6.76619171466035,0.00078055870190723,"NS"
"1156",1010687,200001,89,11,"F-12",69322,1,100,NA,2,NA,NA,NA,670,NA,NA,"2000",2,2.82607480270083,4.60517018598809,6.50727771238501,0.00087302811026336,"NS"
"1158",-7587,201101,162,23,"I-10",69322,1,100,NA,2,NA,NA,NA,704,NA,NA,"2011",2,2.84757265914211,4.60517018598809,6.55677835615804,0.000354710991943635,"NS"
"1162",-18741,201901,94,21,"H-11",69322,1,100,NA,2,NA,NA,NA,770,NA,NA,"2019",2,2.88649072517248,4.60517018598809,6.64639051484773,3.14405970882408e-07,"NS"
"1163",1063169,200101,88,4,"H-14",69322,1,100,NA,2,NA,NA,NA,786,NA,NA,"2001",2,2.89542254603941,4.60517018598809,6.66695679242921,2.51183113681094e-05,"NS"
"1164",1010897,200001,88,7,"H-15",69322,1,100,NA,2,NA,NA,NA,788,NA,NA,"2000",2,2.89652621748956,4.60517018598809,6.66949808985788,3.09338704432005e-05,"NS"
"1165",1023483,200001,88,206,"E-10",69322,1,100,117,2,NA,NA,NA,810,NA,NA,"2000",2,2.90848501887865,4.60517018598809,6.69703424766648,0.00013274244955481,"NS"
"1167",1063407,200101,89,24,"H-11",69322,1,100,NA,2,NA,NA,NA,848,NA,NA,"2001",2,2.92839585225671,4.60517018598809,6.7428806357919,0.000459836034182362,"NS"
"1168",1023466,200001,88,189,"H-11",69322,1,100,121,2,NA,NA,NA,891,NA,NA,"2000",2,2.94987770403687,4.60517018598809,6.79234442747081,0.0010335638875688,"NS"
"1178",-16504,201701,94,58,"K-06",69322,1,100.2,NA,2,NA,NA,NA,705,NA,NA,"2017",2.00086772153123,2.8481891169914,4.60716818865076,6.55819780281227,0.00039264902950214,"NS"
"1179",-8487,201201,162,16,"J-11",69322,1,100.2,NA,2,NA,NA,NA,722,NA,NA,"2012",2.00086772153123,2.85853719756964,4.60716818865076,6.58202513889283,0.000215368170233498,"NS"
"1180",-18742,201901,94,22,"I-11",69322,1,100.2,NA,2,NA,NA,NA,736,NA,NA,"2019",2.00086772153123,2.8668778143375,4.60716818865076,6.60123011872888,0.000110935644722457,"NS"
"1181",-6125,201001,162,6,"H-15",69322,1,100.2,NA,2,NA,NA,NA,762,NA,NA,"2010",2.00086772153123,2.8819549713396,4.60716818865076,6.63594655568665,9.26408434687329e-06,"NS"
"1182",-2892,200701,88,34,"H-10",69322,1,100.2,NA,2,NA,NA,NA,776,24,NA,"2007",2.00086772153123,2.88986172125819,4.60716818865076,6.65415252018322,7.80799324671188e-07,"NS"
"1187",-7508,201101,89,17,"I-11",69322,1,100.4,NA,2,NA,NA,NA,762,NA,NA,"2011",2.001733712809,2.8819549713396,4.60916220725763,6.63594655568665,1.9152785129197e-05,"NS"
"1188",-9064,201201,89,18,"E-12",69322,1,100.4,NA,2,NA,NA,NA,768,NA,NA,"2012",2.001733712809,2.88536122003151,4.60916220725763,6.64378973314767,7.2359995373134e-06,"NS"
"1192",-2826,200701,89,30,"J-09",69322,1,100.4,NA,2,NA,NA,NA,826,NA,NA,"2007",2.001733712809,2.91698004732038,4.60916220725763,6.71659477352098,0.000168072113453402,"NS"
"1200",-6128,201001,162,9,"J-13",69322,1,100.5,NA,2,NA,NA,NA,816,NA,NA,"2010",2.00216606175651,2.91169015875386,4.61015772749913,6.70441435496411,9.33041664035581e-05,"NS"
"1206",-11689,200601,88,201,"H-12",69322,1,100.6,NA,2,NA,NA,NA,760,20.3,NA,"2006",2.00259798071991,2.88081359228079,4.61115225766564,6.63331843328038,3.92028827689967e-05,"NS"
"1216",-7584,201101,162,20,"J-12",69322,1,100.9,NA,2,NA,NA,NA,752,NA,NA,"2011",2.00389116623691,2.87621784059164,4.61412992735956,6.62273632394984,0.000109783728209066,"NS"
"1217",-9061,201201,89,15,"H-12",69322,1,100.9,NA,2,NA,NA,NA,776,NA,NA,"2012",2.00389116623691,2.88986172125819,4.61412992735956,6.65415252018322,1.42611071266162e-05,"NS"
"1221",1010910,200001,88,20,"J-11",69322,1,101,NA,2,NA,NA,NA,692,NA,NA,"2000",2.00432137378264,2.84010609445676,4.61512051684126,6.53958595561767,0.000831232213327601,"NS"
"1224",1063396,200101,89,13,"F-13",69322,1,101,NA,2,NA,NA,NA,736,NA,NA,"2001",2.00432137378264,2.8668778143375,4.61512051684126,6.60123011872888,0.000246563671604909,"NS"
"1232",1063406,200101,89,23,"I-11",69322,1,101,NA,2,NA,NA,NA,830,NA,NA,"2001",2.00432137378264,2.91907809237607,4.61512051684126,6.72142570079064,9.79402445127674e-05,"NS"
"1233",1063396,200101,89,13,"F-13",69322,1,101,NA,2,NA,NA,NA,832,NA,NA,"2001",2.00432137378264,2.92012332629072,4.61512051684126,6.72383244082121,0.000108348430097468,"NS"
"1234",-5707,200901,88,214,"D-10",69322,1,101,NA,2,NA,NA,NA,862,NA,NA,"2009",2.00432137378264,2.93550726582471,4.61512051684126,6.75925527066369,0.000322320334294725,"NS"
"1235",1063188,200101,88,23,"H-10",69322,1,101,NA,2,NA,NA,NA,888,NA,NA,"2001",2.00432137378264,2.9484129657786,4.61512051684126,6.78897174299217,0.000589624717403283,"NS"
"1236",1063414,200101,89,31,"F-09",69322,1,101,NA,2,NA,NA,NA,896,NA,NA,"2001",2.00432137378264,2.95230800966213,4.61512051684126,6.79794041297493,0.000686036807388489,"NS"
"1237",1063416,200101,89,33,"H-09",69322,1,101,NA,2,NA,NA,NA,902,NA,NA,"2001",2.00432137378264,2.95520653754194,4.61512051684126,6.80461452006262,0.000762518176099173,"NS"
"1240",-11264,200601,134,12,"E-11",69322,1,101.1,NA,2,NA,NA,NA,648,NA,NA,"2006",2.004751155591,2.81157500587059,4.61611012602643,6.47389069635227,0.0018848680106779,"NS"
"1248",-13930,201501,162,12,"F-13",69322,1,101.2,NA,2,NA,NA,NA,772,NA,NA,"2015",2.00518051250378,2.88761730033574,4.61709875685337,6.64898455002478,4.66474302157449e-05,"NS"
"1249",-9280,201201,162,226,"H-13",69322,1,101.2,NA,2,NA,NA,NA,782,NA,NA,"2012",2.00518051250378,2.89320675305985,4.61709875685337,6.66185474054531,1.67881087164446e-05,"NS"
"1257",-16327,201701,94,17,"G-11",69322,1,101.3,NA,2,NA,NA,NA,755,NA,NA,"2017",2.00560944536028,2.87794695162919,4.61808641125464,6.62671774924902,0.000148728344980104,"NS"
"1258",-9063,201201,89,17,"F-12",69322,1,101.3,NA,2,NA,NA,NA,766,NA,NA,"2012",2.00560944536028,2.8842287696326,4.61808641125464,6.64118216974059,8.33402641006159e-05,"NS"
"1259",-18748,201901,94,28,"I-09",69322,1,101.3,NA,2,NA,NA,NA,792,NA,NA,"2019",2.00560944536028,2.89872518158949,4.61808641125464,6.67456139181443,4.2147165785581e-06,"NS"
"1261",-9867,201301,89,6,"K-13",69322,1,101.3,NA,2,NA,NA,NA,872,NA,NA,"2013",2.00560944536028,2.94051648493257,4.61808641125464,6.77078942390898,0.000336595805901003,"NS"
"1263",-6368,201001,89,9,"H-14",69322,1,101.4,NA,2,NA,NA,NA,788,NA,NA,"2010",2.00603795499732,2.89652621748956,4.61907309115708,6.66949808985788,1.42550029098521e-05,"NS"
"1265",-18877,201901,94,40,"G-08",69322,1,101.4,NA,2,NA,NA,NA,824,NA,NA,"2019",2.00603795499732,2.91592721169712,4.61907309115708,6.71417052990947,3.22642585017647e-05,"NS"
"1267",-9750,201301,162,6,"J-14",69322,1,101.4,NA,2,NA,NA,NA,834,30.4,NA,"2013",2.00603795499732,2.92116605063774,4.61907309115708,6.72623340235875,6.77903966681313e-05,"NS"
"1268",-8196,201101,89,207,"H-11",69322,1,101.4,NA,2,NA,NA,NA,844,NA,NA,"2011",2.00603795499732,2.92634244662566,4.61907309115708,6.73815249459596,0.000115699870403641,"NS"
"1270",-7577,201101,162,13,"F-13",69322,1,101.4,NA,2,NA,NA,NA,879,NA,NA,"2011",2.00603795499732,2.94398887507377,4.61907309115708,6.77878489768518,0.000374692779952767,"NS"
"1271",-9869,201301,89,8,"I-13",69322,1,101.5,NA,2,NA,NA,NA,778,NA,NA,"2013",2.00646604224923,2.89097959698969,4.62005879848184,6.65672652417839,5.07152278651802e-05,"NS"
"1274",-9067,201201,89,21,"E-11",69322,1,101.5,NA,2,NA,NA,NA,832,NA,NA,"2012",2.00646604224923,2.92012332629072,4.62005879848184,6.72383244082121,4.98609743742234e-05,"NS"
"1277",-6376,201001,89,17,"J-12",69322,1,101.6,NA,2,NA,NA,NA,792,NA,NA,"2010",2.0068937079479,2.89872518158949,4.62104353514438,6.67456139181443,1.59823457447424e-05,"NS"
"1279",-9073,201201,89,27,"J-10",69322,1,101.6,NA,2,NA,NA,NA,822,NA,NA,"2012",2.0068937079479,2.91487181754005,4.62104353514438,6.71174039505618,1.48078045260617e-05,"NS"
"1280",-7579,201101,162,15,"E-12",69322,1,101.6,NA,2,NA,NA,NA,848,NA,NA,"2011",2.0068937079479,2.92839585225671,4.62104353514438,6.7428806357919,0.000108568373320016,"NS"
"1282",-5707,200901,88,214,"D-10",69322,1,101.6,NA,2,NA,NA,NA,896,NA,NA,"2009",2.0068937079479,2.95230800966213,4.62104353514438,6.79794041297493,0.000485712121870958,"NS"
"1283",-18732,201901,94,12,"H-13",69322,1,101.7,NA,2,NA,NA,NA,832,NA,NA,"2019",2.00732095292274,2.92012332629072,4.62202730305451,6.72383244082121,3.29612670665622e-05,"NS"
"1284",-6136,201001,162,17,"H-11",69322,1,101.7,NA,2,NA,NA,NA,904,NA,NA,"2010",2.00732095292274,2.95616843047536,4.62202730305451,6.80682936039218,0.000539626280353179,"NS"
"1285",-11279,200601,134,27,"E-09",69322,1,101.7,NA,2,NA,NA,NA,912,NA,NA,"2006",2.00732095292274,2.95999483832842,4.62202730305451,6.81563999007433,0.000629326777479027,"NS"
"1288",-2815,200701,89,19,"G-13",69322,1,101.8,NA,2,NA,NA,NA,840,NA,NA,"2007",2.00774777800074,2.92427928606188,4.62301010411642,6.73340189183736,5.03898330118776e-05,"NS"
"1290",-9375,201201,162,231,"F-12",69322,1,101.9,NA,2,NA,NA,NA,768,NA,NA,"2012",2.00817418400643,2.88536122003151,4.62399194022868,6.64378973314767,0.000153378323293507,"NS"
"1291",-6369,201001,89,10,"G-14",69322,1,101.9,NA,2,NA,NA,NA,826,NA,NA,"2010",2.00817418400643,2.91698004732038,4.62399194022868,6.71659477352098,8.47477189670098e-06,"NS"
"1298",1063183,200101,88,18,"E-11",69322,1,102,NA,2,NA,NA,NA,788,NA,NA,"2001",2.00860017176192,2.89652621748956,4.62497281328427,6.66949808985788,5.80281030575591e-05,"NS"
"1299",-2893,200701,88,35,"G-10",69322,1,102,NA,2,NA,NA,NA,796,27.1,NA,"2007",2.00860017176192,2.90091306773767,4.62497281328427,6.67959918584438,3.02342254093743e-05,"NS"
"1304",1063181,200101,88,16,"E-12",69322,1,102,NA,2,NA,NA,NA,818,NA,NA,"2001",2.00860017176192,2.91275330367132,4.62497281328427,6.70686233660275,4.87603570070452e-08,"NS"
"1305",1063406,200101,89,23,"I-11",69322,1,102,NA,2,NA,NA,NA,856,NA,NA,"2001",2.00860017176192,2.93247376467715,4.62497281328427,6.75227037614174,9.49984530528081e-05,"NS"
"1306",1063414,200101,89,31,"F-09",69322,1,102,NA,2,NA,NA,NA,860,NA,NA,"2001",2.00860017176192,2.93449845124357,4.62497281328427,6.75693238924755,0.000115019887757112,"NS"
"1308",1023483,200001,88,206,"E-10",69322,1,102,125,2,NA,NA,NA,862,NA,NA,"2000",2.00860017176192,2.93550726582471,4.62497281328427,6.75925527066369,0.000125709768498657,"NS"
"1309",1063408,200101,89,25,"G-11",69322,1,102,NA,2,NA,NA,NA,870,NA,NA,"2001",2.00860017176192,2.93951925261862,4.62497281328427,6.76849321164863,0.00017292282899127,"NS"
"1310",1063188,200101,88,23,"H-10",69322,1,102,NA,2,NA,NA,NA,875,NA,NA,"2001",2.00860017176192,2.94200805302231,4.62497281328427,6.77422388635761,0.000205986177638228,"NS"
"1311",1063169,200101,88,4,"H-14",69322,1,102,NA,2,NA,NA,NA,880,NA,NA,"2001",2.00860017176192,2.94448267215017,4.62497281328427,6.77992190747225,0.000241727069717396,"NS"
"1312",1063414,200101,89,31,"F-09",69322,1,102,NA,2,NA,NA,NA,890,NA,NA,"2001",2.00860017176192,2.94939000664491,4.62497281328427,6.79122146272619,0.000321056322854929,"NS"
"1317",-8196,201101,89,207,"H-11",69322,1,102.1,NA,2,NA,NA,NA,824,NA,NA,"2011",2.00902574208691,2.91592721169712,4.62595272517062,6.71417052990947,1.22905040826406e-06,"NS"
"1319",-13934,201501,162,16,"G-12",69322,1,102.1,NA,2,NA,NA,NA,882,NA,NA,"2015",2.00902574208691,2.94546858513182,4.62595272517062,6.78219205600679,0.000235860239805187,"NS"
"1320",-4430,200801,88,196,"H-13",69322,1,102.1,NA,2,NA,NA,NA,898,15.7,NA,"2008",2.00902574208691,2.9532763366673,4.62595272517062,6.8001700683022,0.000365718478810588,"NS"
"1327",-7584,201101,162,20,"J-12",69322,1,102.3,NA,2,NA,NA,NA,690,NA,NA,"2011",2.00987563371216,2.83884909073726,4.62790967295758,6.5366915975913,0.00138726027380089,"NS"
"1328",-2906,200701,88,48,"I-08",69322,1,102.3,NA,2,NA,NA,NA,728,30,NA,"2007",2.00987563371216,2.86213137931304,4.62790967295758,6.59030104819669,0.000678504921879781,"NS"
"1331",-2890,200701,88,32,"J-10",69322,1,102.3,NA,2,NA,NA,NA,790,30.5,NA,"2007",2.00987563371216,2.89762709129044,4.62790967295758,6.67203294546107,8.05714566683617e-05,"NS"
"1333",-13935,201501,162,17,"H-12",69322,1,102.3,NA,2,NA,NA,NA,836,NA,NA,"2015",2.00987563371216,2.92220627743902,4.62790967295758,6.7286286130847,8.09635548886185e-06,"NS"
"1335",-5691,200901,88,198,"G-10",69322,1,102.3,NA,2,NA,NA,NA,892,NA,NA,"2009",2.00987563371216,2.95036485437612,4.62790967295758,6.79346613258001,0.000268583528840402,"NS"
"1339",-2905,200701,88,47,"H-08",69322,1,102.4,NA,2,NA,NA,NA,784,27.9,NA,"2007",2.01029995663981,2.89431606268444,4.62888671260541,6.66440902035041,0.000125255364979603,"NS"
"1340",-11278,200601,134,26,"F-09",69322,1,102.4,NA,2,NA,NA,NA,788,NA,NA,"2006",2.01029995663981,2.89652621748956,4.62888671260541,6.66949808985788,0.000102622429316647,"NS"
"1342",-17331,201701,94,221,"G-10",69322,1,102.4,NA,2,NA,NA,NA,888,30.7,NA,"2017",2.01029995663981,2.9484129657786,4.62888671260541,6.78897174299217,0.00021873283242215,"NS"
"1346",-11289,200601,134,37,"J-07",69322,1,102.5,NA,2,NA,NA,NA,826,NA,NA,"2006",2.01072386539177,2.91698004732038,4.62986279857846,6.71659477352098,8.89275760119868e-07,"NS"
"1347",-11700,200601,88,212,"G-10",69322,1,102.5,NA,2,NA,NA,NA,840,29.2,NA,"2006",2.01072386539177,2.92427928606188,4.62986279857846,6.73340189183736,6.54171591640177e-06,"NS"
"1348",-8196,201101,89,207,"H-11",69322,1,102.5,NA,2,NA,NA,NA,844,NA,NA,"2011",2.01072386539177,2.92634244662566,4.62986279857846,6.73815249459596,1.25823666069794e-05,"NS"
"1349",-13946,201501,162,28,"F-10",69322,1,102.5,NA,2,NA,NA,NA,846,NA,NA,"2015",2.01072386539177,2.92737036303902,4.62986279857846,6.74051935960622,1.63228012584054e-05,"NS"
"1350",-11267,200601,134,15,"H-11",69322,1,102.6,NA,2,NA,NA,NA,820,NA,NA,"2006",2.0111473607758,2.91381385238372,4.63083793273667,6.7093043402583,9.56778068029044e-06,"NS"
"1352",-6128,201001,162,9,"J-13",69322,1,102.6,NA,2,NA,NA,NA,834,NA,NA,"2010",2.0111473607758,2.92116605063774,4.63083793273667,6.72623340235875,1.83157718097509e-07,"NS"
"1356",-13966,201501,94,9,"I-13",69322,1,102.6,NA,2,NA,NA,NA,880,NA,NA,"2015",2.0111473607758,2.94448267215017,4.63083793273667,6.77992190747225,0.000134441344756062,"NS"
"1358",-9877,201301,89,16,"H-11",69322,1,102.6,NA,2,NA,NA,NA,886,NA,NA,"2013",2.0111473607758,2.94743372188705,4.63083793273667,6.78671695060508,0.000169213688485101,"NS"
"1360",-11690,200601,88,202,"G-12",69322,1,102.7,NA,2,NA,NA,NA,772,29.1,NA,"2006",2.01157044359728,2.88761730033574,4.63181211693451,6.64898455002478,0.000264103085641013,"NS"
"1361",-11286,200601,134,34,"G-07",69322,1,102.7,NA,2,NA,NA,NA,792,NA,NA,"2006",2.01157044359728,2.89872518158949,4.63181211693451,6.67456139181443,0.000119657353613291,"NS"
"1364",-13927,201501,162,9,"H-14",69322,1,102.7,NA,2,NA,NA,NA,900,NA,NA,"2015",2.01157044359728,2.95424250943932,4.63181211693451,6.80239476332431,0.000243762092228138,"NS"
"1374",1010687,200001,89,11,"F-12",69322,1,103,NA,2,NA,NA,NA,696,NA,NA,"2000",2.01283722470517,2.84260923961056,4.63472898822964,6.54534966033442,0.00156114147525346,"NS"
"1375",1010684,200001,89,8,"G-14",69322,1,103,NA,2,NA,NA,NA,802,NA,NA,"2000",2.01283722470517,2.90417436828416,4.63472898822964,6.68710860786651,0.000103793241349214,"NS"
"1377",-2899,200701,88,41,"D-10",69322,1,103,NA,2,NA,NA,NA,838,29.3,NA,"2007",2.01283722470517,2.92324401863028,4.63472898822964,6.73101810048208,1.22113237617321e-06,"NS"
"1379",1063183,200101,88,18,"E-11",69322,1,103,NA,2,NA,NA,NA,858,NA,NA,"2001",2.01283722470517,2.93348728784871,4.63472898822964,6.75460409948796,1.42416151173307e-05,"NS"
"1380",1063169,200101,88,4,"H-14",69322,1,103,NA,2,NA,NA,NA,877,NA,NA,"2001",2.01283722470517,2.94299959336604,4.63472898822964,6.77650699237218,6.89647946433827e-05,"NS"
"1381",-2892,200701,88,34,"H-10",69322,1,103,NA,2,NA,NA,NA,908,32.1,NA,"2007",2.01283722470517,2.95808584852109,4.63472898822964,6.81124437860129,0.000239942177273978,"NS"
"1382",-9757,201301,162,13,"G-12",69322,1,103,NA,2,NA,NA,NA,936,30.4,NA,"2013",2.01283722470517,2.97127584873811,4.63472898822964,6.84161547647759,0.000474039405124294,"NS"
"1383",1063169,200101,88,4,"H-14",69322,1,103,NA,2,NA,NA,NA,944,NA,NA,"2001",2.01283722470517,2.97497199429807,4.63472898822964,6.8501261661455,0.000553798090822417,"NS"
"1384",1010687,200001,89,11,"F-12",69322,1,103,NA,2,NA,NA,NA,952,NA,NA,"2000",2.01283722470517,2.97863694838447,4.63472898822964,6.85856503479136,0.000639003959656125,"NS"
"1386",-6125,201001,162,6,"H-15",69322,1,103.1,NA,2,NA,NA,NA,878,NA,NA,"2010",2.01325866528352,2.9434945159061,4.63569939102291,6.77764659363512,6.24259437337308e-05,"NS"
"1394",-2890,200701,88,32,"J-10",69322,1,103.3,NA,2,NA,NA,NA,822,34.7,NA,"2007",2.01410032151962,2.91487181754005,4.63763737612559,6.71174039505618,4.8284229978695e-05,"NS"
"1395",-6371,201001,89,12,"F-13",69322,1,103.3,NA,2,NA,NA,NA,876,NA,NA,"2010",2.01410032151962,2.94250410616808,4.63763737612559,6.77536609093639,3.79439606554429e-05,"NS"
"1396",-5703,200901,88,210,"F-11",69322,1,103.3,NA,2,NA,NA,NA,926,NA,NA,"2009",2.01410032151962,2.96661098668193,4.63763737612559,6.83087423464618,0.000309618932332201,"NS"
"1398",-6141,201001,162,22,"J-11",69322,1,103.4,NA,2,NA,NA,NA,844,NA,NA,"2010",2.01452053875792,2.92634244662566,4.63860496207433,6.73815249459596,4.53069718735595e-06,"NS"
"1399",-2881,200701,88,23,"F-14",69322,1,103.4,NA,2,NA,NA,NA,852,32,NA,"2007",2.01452053875792,2.9304395947667,4.63860496207433,6.74758652682932,3.51337689871509e-08,"NS"
"1404",-18880,201901,94,43,"J-08",69322,1,103.6,NA,2,NA,NA,NA,896,NA,NA,"2019",2.01535975540921,2.95230800966213,4.64053732982538,6.79794041297493,7.92985267212755e-05,"NS"
"1405",-6134,201001,162,15,"F-11",69322,1,103.6,NA,2,NA,NA,NA,972,NA,NA,"2010",2.01535975540921,2.98766626492627,4.64053732982538,6.87935580446044,0.000656036496552977,"NS"
"1406",-17334,201701,94,224,"F-12",69322,1,103.7,NA,2,NA,NA,NA,688,27.6,NA,"2017",2.01577875638904,2.83758843823551,4.64150211523548,6.53378883793334,0.00210368866148283,"NS"
"1413",-11268,200601,134,16,"I-11",69322,1,103.8,NA,2,NA,NA,NA,802,NA,NA,"2006",2.01619735351244,2.90417436828416,4.64246597073179,6.68710860786651,0.00022623656621811,"NS"
"1414",-11275,200601,134,23,"H-09",69322,1,103.8,NA,2,NA,NA,NA,862,NA,NA,"2006",2.01619735351244,2.93550726582471,4.64246597073179,6.75925527066369,7.4412386895148e-08,"NS"
